"STATE","STNAME","POP","SEN","DIS","State","total_cases","total_agncy","avg_cost","per_POP","per_SEN","per_DIS","cases_SEN"
"01","Alabama",4903185,849837,582894,"AL",212734,121,1.012,2.47,14.24,20.76,25032
"02","Alaska",731545,91588,77547,"AK",6168,15,0.9236,2.05,16.38,19.34,6735
"04","Arizona",7278717,1308633,868995,"AZ",120382,175,0.9719,2.4,13.37,20.14,9199
"05","Arkansas",3017804,523882,357192,"AR",115779,100,1.0353,3.31,19.09,28,22100
"06","California",39512223,5838115,4433692,"CA",993930,1585,0.9236,4.01,27.15,35.75,17025
"08","Colorado",5758736,842412,642691,"CO",83054,195,0.9829,3.39,23.15,30.34,9859
"09","Connecticut",3565287,630244,433116,"CT",126798,87,0.9959,2.44,13.8,20.09,20119
"10","Delaware",973764,188906,119929,"DE",35418,26,1.0162,2.67,13.76,21.68,18749
"11","Washington D.C.",705749,87343,73555,"DC",8591,34,0.9688,4.82,38.93,46.22,9836
"12","Florida",21477737,4497337,2708717,"FL",902465,930,1.0344,4.33,20.68,34.33,20067
"13","Georgia",10617423,1516954,1187983,"GA",232726,103,0.9896,0.97,6.79,8.67,15342
"15","Hawaii",1415872,268448,170801,"HI",7805,15,0.8769,1.06,5.59,8.78,2907
"16","Idaho",1787065,290670,205453,"ID",43476,51,0.9843,2.85,17.55,24.82,14957
"17","Illinois",12671821,2043232,1469883,"IL",437998,575,0.9293,4.54,28.14,39.12,21437
"18","Indiana",6732219,1085743,782818,"IN",164081,212,1.0356,3.15,19.53,27.08,15112
"19","Iowa",3155070,552954,376519,"IA",53922,148,0.9554,4.69,26.77,39.31,9752
"20","Kansas",2913314,475487,339294,"KS",81380,120,1.0204,4.12,25.24,35.37,17115
"21","Kentucky",4467673,750564,525420,"KY",162268,92,1.0317,2.06,12.26,17.51,21619
"22","Louisiana",4648794,741022,533779,"LA",251556,186,0.9929,4,25.1,34.85,33947
"23","Maine",1344212,285265,172213,"ME",43033,21,1.013,1.56,7.36,12.19,15085
"24","Maryland",6045680,959396,698087,"MD",168449,53,0.9925,0.88,5.52,7.59,17558
"25","Massachusetts",6892503,1169332,822475,"MA",321324,265,0.945,3.84,22.66,32.22,27479
"26","Michigan",9986857,1765401,1200322,"MI",304321,475,0.9433,4.76,26.91,39.57,17238
"27","Minnesota",5639632,920382,653144,"MN",55383,171,0.9495,3.03,18.58,26.18,6017
"28","Mississippi",2976149,486693,347108,"MS",216126,46,1.0261,1.55,9.45,13.25,44407
"29","Missouri",6137428,1062037,728056,"MO",138179,152,0.965,2.48,14.31,20.88,13011
"30","Montana",1068778,206437,130828,"MT",14060,26,0.92,2.43,12.59,19.87,6811
"31","Nebraska",1934408,312458,223438,"NE",40428,71,0.9882,3.67,22.72,31.78,12939
"32","Nevada",3080156,495972,351269,"NV",101538,151,1.0405,4.9,30.45,42.99,20473
"33","New Hampshire",1359711,253864,168284,"NH",50370,30,0.9996,2.21,11.82,17.83,19841
"34","New Jersey",8882190,1475535,1043480,"NJ",206634,42,0.9933,0.47,2.85,4.02,14004
"35","New Mexico",2096829,377606,251312,"NM",49329,76,0.9708,3.62,20.13,30.24,13064
"36","New York",19453561,3296146,2293229,"NY",375237,121,0.9657,0.62,3.67,5.28,11384
"37","North Carolina",10488084,1751094,1232602,"NC",282228,173,0.956,1.65,9.88,14.04,16117
"38","North Dakota",762062,119845,87151,"ND",6537,17,0.9469,2.23,14.18,19.51,5455
"39","Ohio",11689100,2046320,1394459,"OH",316073,772,1.0036,6.6,37.73,55.36,15446
"40","Oklahoma",3956971,635132,456117,"OK",313588,251,0.9659,6.34,39.52,55.03,49374
"41","Oregon",4217737,766080,502813,"OR",57227,52,0.8814,1.23,6.79,10.34,7470
"42","Pennsylvania",12801989,2393362,1564729,"PA",343978,435,0.9759,3.4,18.18,27.8,14372
"44","Rhode Island",1059361,187046,128654,"RI",30758,24,0.9919,2.27,12.83,18.65,16444
"45","South Carolina",5148714,937023,620689,"SC",168427,77,1.0058,1.5,8.22,12.41,17975
"46","South Dakota",884659,151871,103658,"SD",8826,27,0.962,3.05,17.78,26.05,5812
"47","Tennessee",6829174,1143393,799672,"TN",241823,129,1.0693,1.89,11.28,16.13,21150
"48","Texas",28995881,3734229,3121310,"TX",1190057,2101,0.948,7.25,56.26,67.31,31869
"49","Utah",3205958,365872,333159,"UT",63038,94,0.9586,2.93,25.69,28.21,17230
"50","Vermont",623989,125039,79386,"VT",33965,11,0.935,1.76,8.8,13.86,27164
"51","Virginia",8535519,1358906,986962,"VA",265067,238,0.9761,2.79,17.51,24.11,19506
"53","Washington",7614893,1209723,867388,"WA",120875,64,0.9282,0.84,5.29,7.38,9992
"54","West Virginia",1792147,367011,225546,"WV",64769,54,1.0591,3.01,14.71,23.94,17648
"55","Wisconsin",5822434,1017243,696278,"WI",82338,113,0.9315,1.94,11.11,16.23,8094
"56","Wyoming",578759,99179,67854,"WY",10092,29,1.0015,5.01,29.24,42.74,10176
